order,ship_date,billable_kg,fuel_pct,fedex_inr_gst,ups_saver_inr_gst,diff,oversize
C-43-46354-21,2026-09-17,2.5,49.75,3529.41,3115.66,-413.75,0
C-4169706078,2026-09-17,8.0,49.75,6877.45,7198.5,321.05,0
C-43-46525-21,2026-09-17,6.0,49.75,5752.8,5600.98,-151.82,0
C-43-46609-21,2026-09-17,8.5,49.75,7157.66,7599.39,441.74,0
C-43-46406-21,2026-09-17,2.0,49.75,3163.8,2757.83,-405.97,0
C-53-7872350-22,2026-09-17,6.5,49.75,6033.96,5999.63,-34.34,0
C-43-46169-21,2026-09-17,22.5,49.75,19954.88,17597.96,-2356.92,0
C-43-46145-21,2026-09-17,10.5,49.75,10091.15,9035.17,-1055.98,0
C-43-46509-21,2026-09-17,8.5,49.75,7157.66,7599.39,441.74,0
C-43-46198-21,2026-09-17,6.5,49.75,6033.96,5999.63,-34.34,0
C-53-7872339-22,2026-09-17,6.5,49.75,6033.96,5999.63,-34.34,0
C-43-46450-21,2026-09-17,3.0,49.75,3644.56,3463.67,-180.9,0
C-43-46377-21,2026-09-17,5.5,49.75,5471.64,5200.92,-270.72,0
C-43-45836-21,2026-09-17,3.0,49.75,3644.56,3463.67,-180.9,0
C-43-46437-21,2026-09-17,4.0,49.75,4275.02,4131.75,-143.27,0
C-43-43997-21,2026-09-17,23.0,49.75,20382.86,17989.03,-2393.84,0
C-53-7872288-22,2026-09-17,6.0,49.75,5752.8,5600.98,-151.82,0
C-53-7872407-22,2026-09-17,2.0,49.75,3163.8,2757.83,-405.97,0
C-53-7872348-22,2026-09-17,3.5,49.75,3644.56,3797.02,152.46,0
C-43-45804-21,2026-09-17,8.5,49.75,7157.66,7599.39,441.74,0
C-4171883688,2026-09-17,3.0,49.75,3644.56,3463.67,-180.9,0
C-43-46382-21,2026-09-17,6.5,49.75,6033.96,5999.63,-34.34,0
C-43-46431-21,2026-09-17,5.5,49.75,5471.64,5200.92,-270.72,0
C-43-46398-21,2026-09-17,8.5,49.75,7157.66,7599.39,441.74,0
C-53-7872237-22,2026-09-17,8.0,49.75,6877.45,7198.5,321.05,0
C-53-7872409-22,2026-09-17,3.0,49.75,3644.56,3463.67,-180.9,0
C-43-46279-21,2026-09-17,11.5,49.75,10868.43,9755.76,-1112.67,0
C-53-7872337-22,2026-09-17,5.0,49.75,4906.43,4800.92,-105.52,0
C-43-45188-21,2026-09-17,8.0,49.75,6877.45,7198.5,321.05,0
C-43-46257-21,2026-09-17,7.0,49.75,6315.13,6400.86,85.73,0
C-43-46500-21,2026-09-17,14.0,49.75,12813.54,11485.56,-1327.98,0
C-43-44285-21,2026-09-17,16.5,49.75,14759.61,13166.87,-1592.73,0
C-43-44795-21,2026-09-17,21.5,49.75,19098.92,16815.83,-2283.09,0
C-43-46499-21,2026-09-18,7.0,49.75,6318.97,6400.86,81.89,0
C-4167843982,2026-09-18,9.0,49.75,9060.54,7944.04,-1116.5,0
C-43-46284-21,2026-09-18,6.5,49.75,6037.8,5999.63,-38.17,0
C-43-43616-21,2026-09-18,11.5,49.75,10876.11,9755.76,-1120.35,0
C-43-46655-21,2026-09-18,1.5,49.75,2692.64,2400.36,-292.28,0
C-43-46472-21,2026-09-18,4.5,49.75,4593.61,4468.13,-125.48,0
C-43-44903-21,2026-09-18,2.0,49.75,3045.77,2757.83,-287.94,0
C-43-46072-21,2026-09-18,11.5,49.75,10876.11,9755.76,-1120.35,0
C-53-7872398-22,2026-09-18,3.0,49.75,3647.44,3463.67,-183.77,0
C-43-45946-21,2026-09-18,6.0,49.75,5756.64,5600.98,-155.66,0
C-4167399665,2026-09-18,5.0,49.75,4909.31,4800.92,-108.4,0
C-43-46549-21,2026-09-18,6.5,49.75,6037.8,5999.63,-38.17,0
C-43-44487-21,2026-09-18,5.0,49.75,4909.31,4800.92,-108.4,0
C-43-46580-21,2026-09-18,5.5,49.75,5475.48,5200.92,-274.55,0
C-43-46441-21,2026-09-18,2.5,49.75,3531.33,3115.66,-415.67,0
C-43-46292-21,2026-09-18,4.5,49.75,4593.61,4468.13,-125.48,0
C-53-7872353-22,2026-09-18,8.5,49.75,7162.45,7599.39,436.94,0
C-43-42994-21,2026-09-18,8.0,49.75,6881.29,7198.5,317.21,0
C-43-46538-21,2026-09-18,11.0,49.75,10486.51,9394.7,-1091.81,0
C-43-43924-21,2026-09-18,4.0,49.75,4277.9,4131.75,-146.15,0
C-43-46563-21,2026-09-18,2.0,49.75,3165.72,2757.83,-407.89,0
C-43-43740-21,2026-09-18,5.0,49.75,4909.31,4800.92,-108.4,0
C-43-46656-21,2026-09-18,5.5,49.75,5475.48,5200.92,-274.55,0
C-43-46837-21,2026-09-18,2.5,49.75,3531.33,3115.66,-415.67,0
C-43-44177-21,2026-09-18,5.5,49.75,5475.48,5200.92,-274.55,0
C-43-46079-21,2026-09-18,6.0,49.75,5756.64,5600.98,-155.66,0
C-43-45762-21,2026-09-18,10.5,49.75,10096.91,9035.17,-1061.74,0
C-43-46181-21,2026-09-18,2.5,49.75,3398.9,3115.66,-283.24,0
C-43-46685-21,2026-09-18,6.0,49.75,5756.64,5600.98,-155.66,0
C-43-44327-21,2026-09-18,7.0,49.75,6318.97,6400.86,81.89,0
C-43-46693-21,2026-09-18,3.0,49.75,3531.33,3463.67,-67.66,0
C-4164806872,2026-09-18,5.5,49.75,5475.48,5200.92,-274.55,0
C-43-45726-21,2026-09-18,2.0,49.75,3165.72,2757.83,-407.89,0
C-43-46858-21,2026-09-18,2.5,49.75,3531.33,3115.66,-415.67,0
C-43-46402-21,2026-09-18,6.5,49.75,6037.8,5999.63,-38.17,0
C-43-46620-21,2026-09-18,6.0,49.75,5475.48,5600.98,125.51,0
C-43-44882-21,2026-09-18,1.5,49.75,2692.64,2400.36,-292.28,0
C-43-46582-21,2026-09-18,7.0,49.75,6318.97,6400.86,81.89,0
C-43-46658-21,2026-09-18,1.5,49.75,2692.64,2400.36,-292.28,0
C-43-46632-21,2026-09-18,3.0,49.75,3647.44,3463.67,-183.77,0
C-53-7872402-22,2026-09-18,12.5,49.75,11654.34,10476.8,-1177.54,0
C-43-44123-21,2026-09-18,1.5,49.75,2692.64,2400.36,-292.28,0
C-43-46677-21,2026-09-18,5.0,49.75,4909.31,4800.92,-108.4,0
C-43-44430-21,2026-09-18,7.0,49.75,6318.97,6400.86,81.89,0
C-43-46561-21,2026-09-18,3.0,49.75,3647.44,3463.67,-183.77,0
C-43-46481-21,2026-09-18,6.5,49.75,6037.8,5999.63,-38.17,0
C-43-46453-21,2026-09-18,7.5,49.75,6600.13,6799.38,199.25,0
C-43-45692-21,2026-09-18,5.5,49.75,5475.48,5200.92,-274.55,0
C-43-45141-21,2026-09-18,10.5,49.75,10096.91,9035.17,-1061.74,0
C-43-46688-21,2026-09-18,3.5,49.75,3963.15,3797.02,-166.13,0
C-43-46700-21,2026-09-18,5.5,49.75,5475.48,5200.92,-274.55,0
C-43-46806-21,2026-09-18,1.0,49.75,2433.55,2042.41,-391.14,0
C-53-7872245-22,2026-09-18,2.0,49.75,2799.15,2757.83,-41.32,0
C-53-7872304-22,2026-09-18,6.5,49.75,6037.8,5999.63,-38.17,0
C-43-46463-21,2026-09-18,10.0,49.75,8005.94,8584.47,578.53,0
C-43-46553-21,2026-09-18,8.0,49.75,6881.29,7198.5,317.21,0
C-4170734732,2026-09-18,4.5,49.75,4593.61,4468.13,-125.48,0
C-43-43994-21,2026-09-18,9.0,49.75,7443.62,7944.04,500.42,0
C-43-46081-21,2026-09-18,7.0,49.75,6318.97,6400.86,81.89,0
C-4169836370,2026-09-18,2.5,49.75,3531.33,3115.66,-415.67,0
C-43-46544-21,2026-09-18,10.5,49.75,8005.94,9035.17,1029.23,0
C-43-46608-21,2026-09-18,2.5,49.75,3531.33,3115.66,-415.67,0
